mun,1,2,3,11,12,13,14,21,22,23,24,25,26,31,32,33,34,35,36,37,41,42,43,44,51,52,53,54,61,62,63,71,72,73,74,75,81,82,83,91,92,93,94,95,96,98,MUNTOTAL,share1,share2,share3,share11,share12,share13,share14,share21,share22,share23,share24,share25,share26,share31,share32,share33,share34,share35,share36,share37,share41,share42,share43,share44,share51,share52,share53,share54,share61,share62,share63,share71,share72,share73,share74,share75,share81,share82,share83,share91,share92,share93,share94,share95,share96,share98,10,15,16,17,18,19,20,27,28,29,30,40,45,5,50,55,60,64,65,66,67,70,80,85,90
101,2331.0,13.0,397,133.5,353,808.0,1010.5,1204.0,4702.0,1367.0,4424.5,1552.0,1717.0,1331.0,429.0,2305.5,599.5,372.0,1106.0,66.0,2135.0,2380,632,260,13832.5,19594.0,214,1155,381.0,755.5,4317.5,1486.5,2240.0,423.5,14597.5,750,768,9,1049,8255.0,2528.0,1760.0,36,33,836,1149,36226,0.00113178380169,0.000358858278584,0.0109589797383,0.00361618726881,0.00974438248772,0.0212002429195,0.0180257273781,0.0212278474024,0.02241484017,0.0323524540385,0.0348368575057,0.0061281952189,0.0221387953404,0.018108540827,0.0107381438746,0.0521172638436,0.0141334952796,0.00916468834539,0.00472036658753,0.00182189587589,0.0542428090322,0.0656986694639,0.0174460332358,0.00717716557169,0.050102136587,0.120880030917,0.00590735935516,0.0318831778281,0.00334014243913,8.28134489041e-05,0.0,0.0248164301883,0.024153922597,0.0073427924695,0.0106277259427,0.020703362226,0.0212002429195,0.000248440346712,0.0289571026335,0.113868492243,0.00160106001215,0.0180809363441,0.000993761386849,0.000910947937945,0.0230773477613,0.0317175509303,195.0,5307.5,180.0,1297.5,965.0,417.5,302.5,1067.5,1147.5,500.0,25.0,2222.5,7710.0,17.5,8345.0,10130.0,1962.5,5287.5,7910.0,1925.0,1795.0,6135.0,5180.0,6635.0,60.0
201,99.5,0.0,22,9.0,2,21.0,8.0,15.0,41.0,109.0,18.0,2.0,19.5,17.0,26.0,49.0,12.0,4.0,14.0,1.0,55.0,111,22,7,82.0,355.0,8,79,162.0,3.0,90.0,68.0,68.0,0.0,17.0,54,32,0,105,437.5,67.0,94.0,2,4,39,56,2179,0.000917852225792,0.0,0.0100963744837,0.00413033501606,0.000917852225792,0.00963744837081,0.00367140890317,0.00688389169344,0.0188159706287,0.0500229463056,0.00826067003212,0.000917852225792,0.00780174391923,0.00780174391923,0.0119320789353,0.0224873795319,0.00550711335475,0.00183570445158,0.00642496558054,0.000458926112896,0.0252409362093,0.0509407985314,0.0100963744837,0.00321248279027,0.035337310693,0.123910050482,0.00367140890317,0.0362551629188,0.0743460302891,0.00137677833869,0.0,0.0312069756769,0.0312069756769,0.0,0.00780174391923,0.0247820100964,0.0146856356127,0.0,0.0481872418541,0.183570445158,0.0261587884351,0.0431390546122,0.000917852225792,0.00183570445158,0.0178981184029,0.0256998623222,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.5,2.5,12.5,37.5,0.0,0.0,7.5,40.0,35.0,0.0
202,0.0,1.0,0,3.0,1,1.0,0.0,1.0,1.0,16.0,6.0,0.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,0.0,8.0,22,3,3,34.0,46.0,3,26,110.0,8.0,0.0,25.0,6.0,0.0,1.0,19,4,0,22,106.0,69.0,20.0,0,0,12,12,593,0.0,0.00168634064081,0.0,0.00505902192243,0.00168634064081,0.00168634064081,0.0,0.00168634064081,0.00168634064081,0.026981450253,0.0101180438449,0.0,0.00337268128162,0.00674536256324,0.00674536256324,0.00674536256324,0.00337268128162,0.00168634064081,0.00337268128162,0.0,0.0134907251265,0.0370994940978,0.00505902192243,0.00505902192243,0.0320404721754,0.0775716694772,0.00505902192243,0.043844856661,0.185497470489,0.0134907251265,0.0,0.0421585160202,0.0101180438449,0.0,0.00168634064081,0.0320404721754,0.00674536256324,0.0,0.0370994940978,0.178752107926,0.116357504216,0.0337268128162,0.0,0.0,0.0202360876897,0.0202360876897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,1.0,2.0,19,5.0,0,1.0,2.0,2.0,2.0,23.0,0.0,0.0,0.0,4.0,12.0,4.0,1.0,0.0,3.0,0.0,5.0,12,4,1,16.0,47.0,2,18,75.0,1.0,0.0,30.0,3.0,0.0,2.0,10,12,0,21,148.0,43.0,13.0,0,0,14,11,569,0.00175746924429,0.00351493848858,0.0333919156415,0.00878734622144,0.0,0.00175746924429,0.00351493848858,0.00351493848858,0.00351493848858,0.0404217926186,0.0,0.0,0.0,0.00702987697715,0.0210896309315,0.00702987697715,0.00175746924429,0.0,0.00527240773286,0.0,0.00878734622144,0.0210896309315,0.00702987697715,0.00175746924429,0.0281195079086,0.0826010544815,0.00351493848858,0.0316344463972,0.131810193322,0.00175746924429,0.0,0.0527240773286,0.00527240773286,0.0,0.00351493848858,0.0175746924429,0.0210896309315,0.0,0.0369068541301,0.260105448155,0.0755711775044,0.0228471001757,0.0,0.0,0.02460456942,0.0193321616872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,1.0,0.0,2,4.0,0,3.0,3.0,4.0,1.0,36.0,3.0,0.0,3.0,10.0,11.0,6.0,5.0,2.0,7.0,0.0,20.0,32,6,2,43.0,42.5,3,36,102.0,3.0,0.0,31.0,8.0,1.0,6.0,9,9,0,34,135.0,98.0,21.0,0,0,16,16,757,0.00132100396301,0.0,0.00264200792602,0.00528401585205,0.0,0.00396301188904,0.00396301188904,0.00528401585205,0.00132100396301,0.0475561426684,0.00396301188904,0.0,0.00396301188904,0.0132100396301,0.0145310435931,0.00792602377807,0.00660501981506,0.00264200792602,0.00924702774108,0.0,0.0264200792602,0.0422721268164,0.00792602377807,0.00264200792602,0.0369881109643,0.0528401585205,0.00396301188904,0.0475561426684,0.134742404227,0.00396301188904,0.0,0.0409511228534,0.0105680317041,0.00132100396301,0.00792602377807,0.0118890356671,0.0118890356671,0.0,0.0449141347424,0.178335535007,0.129458388375,0.0277410832232,0.0,0.0,0.0211360634082,0.0211360634082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
205,0.0,1.0,0,3.0,1,1.0,0.0,1.0,1.0,16.0,6.0,0.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,0.0,8.0,22,3,3,19.0,46.0,3,26,110.0,8.0,0.0,25.0,6.0,0.0,1.0,19,4,0,22,106.0,69.0,20.0,0,0,12,12,593,0.0,0.00168634064081,0.0,0.00505902192243,0.00168634064081,0.00168634064081,0.0,0.00168634064081,0.00168634064081,0.026981450253,0.0101180438449,0.0,0.00337268128162,0.00674536256324,0.00674536256324,0.00674536256324,0.00337268128162,0.00168634064081,0.00337268128162,0.0,0.0134907251265,0.0370994940978,0.00505902192243,0.00505902192243,0.0320404721754,0.0775716694772,0.00505902192243,0.043844856661,0.185497470489,0.0134907251265,0.0,0.0421585160202,0.0101180438449,0.0,0.00168634064081,0.0320404721754,0.00674536256324,0.0,0.0370994940978,0.178752107926,0.116357504216,0.0337268128162,0.0,0.0,0.0202360876897,0.0202360876897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,1.0,0.0,2,4.0,0,3.0,3.0,4.0,1.0,36.0,3.0,0.0,3.0,10.0,11.0,6.0,5.0,2.0,7.0,0.0,20.0,32,6,2,28.0,40.0,3,36,102.0,3.0,0.0,31.0,8.0,1.0,6.0,9,9,0,34,135.0,98.0,21.0,0,0,16,16,757,0.00132100396301,0.0,0.00264200792602,0.00528401585205,0.0,0.00396301188904,0.00396301188904,0.00528401585205,0.00132100396301,0.0475561426684,0.00396301188904,0.0,0.00396301188904,0.0132100396301,0.0145310435931,0.00792602377807,0.00660501981506,0.00264200792602,0.00924702774108,0.0,0.0264200792602,0.0422721268164,0.00792602377807,0.00264200792602,0.0369881109643,0.0528401585205,0.00396301188904,0.0475561426684,0.134742404227,0.00396301188904,0.0,0.0409511228534,0.0105680317041,0.00132100396301,0.00792602377807,0.0118890356671,0.0118890356671,0.0,0.0449141347424,0.178335535007,0.129458388375,0.0277410832232,0.0,0.0,0.0211360634082,0.0211360634082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,2.0,0.0,22,9.0,2,21.0,8.0,15.0,41.0,109.0,18.0,2.0,17.0,17.0,26.0,49.0,12.0,4.0,14.0,1.0,55.0,111,22,7,77.0,295.0,8,79,162.0,3.0,0.0,68.0,68.0,0.0,17.0,54,32,0,105,400.0,57.0,94.0,2,4,39,56,2179,0.000917852225792,0.0,0.0100963744837,0.00413033501606,0.000917852225792,0.00963744837081,0.00367140890317,0.00688389169344,0.0188159706287,0.0500229463056,0.00826067003212,0.000917852225792,0.00780174391923,0.00780174391923,0.0119320789353,0.0224873795319,0.00550711335475,0.00183570445158,0.00642496558054,0.000458926112896,0.0252409362093,0.0509407985314,0.0100963744837,0.00321248279027,0.035337310693,0.123910050482,0.00367140890317,0.0362551629188,0.0743460302891,0.00137677833869,0.0,0.0312069756769,0.0312069756769,0.0,0.00780174391923,0.0247820100964,0.0146856356127,0.0,0.0481872418541,0.183570445158,0.0261587884351,0.0431390546122,0.000917852225792,0.00183570445158,0.0178981184029,0.0256998623222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,1.0,2.0,19,5.0,0,1.0,2.0,2.0,2.0,23.0,0.0,0.0,0.0,4.0,12.0,4.0,1.0,0.0,3.0,0.0,5.0,12,4,1,16.0,47.0,2,18,75.0,1.0,0.0,30.0,3.0,0.0,2.0,10,12,0,21,148.0,43.0,13.0,0,0,14,11,569,0.00175746924429,0.00351493848858,0.0333919156415,0.00878734622144,0.0,0.00175746924429,0.00351493848858,0.00351493848858,0.00351493848858,0.0404217926186,0.0,0.0,0.0,0.00702987697715,0.0210896309315,0.00702987697715,0.00175746924429,0.0,0.00527240773286,0.0,0.00878734622144,0.0210896309315,0.00702987697715,0.00175746924429,0.0281195079086,0.0826010544815,0.00351493848858,0.0316344463972,0.131810193322,0.00175746924429,0.0,0.0527240773286,0.00527240773286,0.0,0.00351493848858,0.0175746924429,0.0210896309315,0.0,0.0369068541301,0.260105448155,0.0755711775044,0.0228471001757,0.0,0.0,0.02460456942,0.0193321616872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,1.0,2.0,19,5.0,0,1.0,2.0,2.0,2.0,23.0,0.0,0.0,0.0,4.0,12.0,4.0,1.0,0.0,3.0,0.0,5.0,12,4,1,16.0,47.0,2,18,75.0,1.0,0.0,30.0,3.0,0.0,2.0,10,12,0,21,148.0,43.0,13.0,0,0,14,11,569,0.00175746924429,0.00351493848858,0.0333919156415,0.00878734622144,0.0,0.00175746924429,0.00351493848858,0.00351493848858,0.00351493848858,0.0404217926186,0.0,0.0,0.0,0.00702987697715,0.0210896309315,0.00702987697715,0.00175746924429,0.0,0.00527240773286,0.0,0.00878734622144,0.0210896309315,0.00702987697715,0.00175746924429,0.0281195079086,0.0826010544815,0.00351493848858,0.0316344463972,0.131810193322,0.00175746924429,0.0,0.0527240773286,0.00527240773286,0.0,0.00351493848858,0.0175746924429,0.0210896309315,0.0,0.0369068541301,0.260105448155,0.0755711775044,0.0228471001757,0.0,0.0,0.02460456942,0.0193321616872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
